epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,1655.09,1.35387,1.29838,1.69468,0.78108,0.73642,0.81771,0.47856,0.46959,1.52537,1.13658,1.80933,0.0002938,0.0002938,0.0002938
109,1668.15,1.37066,1.30828,1.69453,0.80826,0.70992,0.78924,0.45531,0.47296,1.5804,1.14611,1.87134,0.0002872,0.0002872,0.0002872
110,1681.51,1.36863,1.30354,1.71104,0.70678,0.73398,0.78786,0.45866,0.47832,1.58531,1.13271,1.87362,0.0002806,0.0002806,0.0002806
111,1694.99,1.3396,1.29559,1.67987,0.64016,0.76054,0.80825,0.53355,0.49658,1.52385,1.1732,1.83723,0.000274,0.000274,0.000274
112,1708.4,1.36062,1.30624,1.69904,0.71473,0.76889,0.80321,0.46973,0.47876,1.53558,1.14157,1.83222,0.0002674,0.0002674,0.0002674
113,1723.07,1.34727,1.30709,1.69116,0.79916,0.73398,0.78134,0.44912,0.46005,1.60839,1.16303,1.91223,0.0002608,0.0002608,0.0002608
114,1737.01,1.36181,1.30255,1.69402,0.72512,0.71011,0.77068,0.46308,0.45343,1.61178,1.17075,1.89479,0.0002542,0.0002542,0.0002542
115,1750.05,1.36089,1.29776,1.68315,0.77065,0.72184,0.81173,0.46691,0.47912,1.57065,1.17079,1.85227,0.0002476,0.0002476,0.0002476
116,1765.42,1.36333,1.30567,1.69581,0.844,0.72658,0.80267,0.54704,0.49065,1.52309,1.09975,1.82097,0.000241,0.000241,0.000241
117,1780.11,1.33512,1.30073,1.68348,0.69566,0.69541,0.75654,0.49584,0.43782,1.61871,1.21355,1.8938,0.0002344,0.0002344,0.0002344
118,1794.78,1.3515,1.28898,1.69078,0.89814,0.66949,0.79947,0.46162,0.45724,1.65511,1.1723,1.93673,0.0002278,0.0002278,0.0002278
119,1810.08,1.33003,1.2665,1.66856,0.84132,0.71646,0.79076,0.41521,0.46549,1.61515,1.08403,1.91458,0.0002212,0.0002212,0.0002212
120,1823.24,1.34937,1.29406,1.68592,0.83574,0.7149,0.80218,0.44204,0.44949,1.63071,1.13913,1.92431,0.0002146,0.0002146,0.0002146
121,1836,1.34842,1.27952,1.67995,0.7598,0.7035,0.78654,0.42742,0.45986,1.54748,1.20865,1.86855,0.000208,0.000208,0.000208
122,1848.97,1.32599,1.26341,1.65859,0.73454,0.75481,0.78163,0.52298,0.46923,1.58118,1.14399,1.87608,0.0002014,0.0002014,0.0002014
123,1863.5,1.33492,1.26056,1.66954,0.74692,0.76584,0.78415,0.53603,0.46165,1.64272,1.16459,1.93235,0.0001948,0.0001948,0.0001948
124,1879.53,1.34226,1.27051,1.67741,0.88928,0.66431,0.79316,0.49431,0.47377,1.56445,1.14285,1.86926,0.0001882,0.0001882,0.0001882
125,1893.11,1.33914,1.27953,1.67561,0.81452,0.74122,0.80764,0.5281,0.47081,1.60407,1.10077,1.88011,0.0001816,0.0001816,0.0001816
126,1907.09,1.33472,1.28717,1.67282,0.71953,0.72263,0.77331,0.47268,0.44407,1.64569,1.15537,1.92143,0.000175,0.000175,0.000175
127,1922.96,1.33159,1.24888,1.66725,0.75656,0.72045,0.81602,0.44881,0.46641,1.5762,1.13885,1.87237,0.0001684,0.0001684,0.0001684
128,1939.68,1.33296,1.24988,1.67021,0.7997,0.74845,0.80652,0.49744,0.47403,1.59761,1.12889,1.86467,0.0001618,0.0001618,0.0001618
129,1956.22,1.3216,1.26118,1.66525,0.77749,0.70703,0.78188,0.48241,0.46894,1.60605,1.12063,1.89117,0.0001552,0.0001552,0.0001552
130,1971.6,1.32179,1.25204,1.65702,0.74212,0.70783,0.77774,0.51535,0.46798,1.55921,1.11687,1.84397,0.0001486,0.0001486,0.0001486
131,1989.62,1.32586,1.25585,1.66684,0.67347,0.76137,0.77835,0.48697,0.46025,1.58721,1.16881,1.86567,0.000142,0.000142,0.000142
132,2004.58,1.31813,1.26234,1.65641,0.82738,0.73397,0.81158,0.51307,0.47305,1.5871,1.16365,1.88742,0.0001354,0.0001354,0.0001354
133,2019.48,1.32333,1.24856,1.66504,0.781,0.74548,0.77457,0.48796,0.45831,1.5219,1.15772,1.83107,0.0001288,0.0001288,0.0001288
134,2034.89,1.31381,1.24351,1.6541,0.67157,0.76584,0.77115,0.47165,0.46673,1.53071,1.15619,1.83192,0.0001222,0.0001222,0.0001222
135,2050.76,1.32511,1.24832,1.66358,0.76473,0.73066,0.80482,0.51561,0.48703,1.51093,1.1573,1.80489,0.0001156,0.0001156,0.0001156
136,2065.49,1.303,1.24007,1.65712,0.71456,0.70845,0.79716,0.50742,0.48409,1.53161,1.17968,1.8278,0.000109,0.000109,0.000109
137,2078.95,1.29089,1.23619,1.64159,0.83264,0.70888,0.81913,0.51672,0.48994,1.50492,1.14979,1.81727,0.0001024,0.0001024,0.0001024
138,2092.59,1.31357,1.23678,1.65703,0.79985,0.72238,0.7964,0.46702,0.46432,1.55414,1.19313,1.84195,9.58e-05,9.58e-05,9.58e-05
139,2107.32,1.31068,1.23311,1.65083,0.74835,0.76299,0.78405,0.51109,0.48142,1.5436,1.09407,1.85691,8.92e-05,8.92e-05,8.92e-05
140,2121.83,1.31796,1.25255,1.65813,0.71711,0.74144,0.7887,0.50414,0.47568,1.54204,1.15315,1.84288,8.26e-05,8.26e-05,8.26e-05
141,2137.47,1.3426,1.25204,1.69293,0.83384,0.72123,0.81653,0.50618,0.48559,1.54386,1.15081,1.85988,7.6e-05,7.6e-05,7.6e-05
142,2152.72,1.28706,1.15296,1.65361,0.8158,0.69288,0.80192,0.53456,0.48829,1.53001,1.12176,1.85272,6.94e-05,6.94e-05,6.94e-05
143,2166.75,1.29106,1.14701,1.65363,0.7864,0.72117,0.80537,0.50181,0.49168,1.51549,1.14951,1.84242,6.28e-05,6.28e-05,6.28e-05
144,2178.91,1.27773,1.11672,1.64275,0.79692,0.74501,0.8172,0.55672,0.49704,1.53249,1.14097,1.84481,5.62e-05,5.62e-05,5.62e-05
145,2192.71,1.2748,1.12118,1.64443,0.82863,0.76177,0.82531,0.46938,0.49126,1.53824,1.11425,1.85581,4.96e-05,4.96e-05,4.96e-05
146,2208.02,1.26567,1.11439,1.63878,0.83877,0.74574,0.82295,0.53569,0.50184,1.53083,1.15869,1.85214,4.3e-05,4.3e-05,4.3e-05
147,2225.12,1.2645,1.11887,1.64786,0.80701,0.76897,0.82297,0.50538,0.48473,1.53758,1.14163,1.85316,3.64e-05,3.64e-05,3.64e-05
148,2239.95,1.2864,1.11555,1.64594,0.82989,0.71505,0.81941,0.5181,0.49314,1.52467,1.14076,1.84055,2.98e-05,2.98e-05,2.98e-05
149,2255.8,1.26493,1.11328,1.63907,0.84198,0.73982,0.81363,0.52601,0.49509,1.51863,1.15096,1.83624,2.32e-05,2.32e-05,2.32e-05
150,2272.15,1.27638,1.11228,1.63394,0.81817,0.73305,0.81769,0.54433,0.49275,1.5242,1.12828,1.8407,1.66e-05,1.66e-05,1.66e-05
