epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,1178.65,1.49483,1.4379,1.68564,0.88895,0.65966,0.74407,0.44125,0.44467,1.45656,1.13916,1.67667,0.0005248,0.0005248,0.0005248
74,1194.46,1.48776,1.40898,1.66471,0.55346,0.77341,0.70273,0.4467,0.41788,1.55121,1.19262,1.76429,0.0005182,0.0005182,0.0005182
75,1210.87,1.47559,1.41645,1.65529,0.72743,0.74639,0.80205,0.51732,0.48252,1.47273,1.13945,1.6962,0.0005116,0.0005116,0.0005116
76,1227.17,1.51349,1.4562,1.6888,0.68463,0.78607,0.79161,0.45574,0.46418,1.46608,1.18808,1.66031,0.000505,0.000505,0.000505
77,1242.98,1.49002,1.4192,1.66512,0.75823,0.77945,0.79244,0.48011,0.47012,1.44081,1.16017,1.64413,0.0004984,0.0004984,0.0004984
78,1258.58,1.47819,1.40106,1.65068,0.76017,0.60113,0.69007,0.36769,0.3678,1.75801,1.4631,1.81755,0.0004918,0.0004918,0.0004918
79,1274.61,1.48569,1.42017,1.66419,0.55212,0.77591,0.7455,0.49667,0.45522,1.44235,1.20526,1.64054,0.0004852,0.0004852,0.0004852
80,1290.6,1.46786,1.39187,1.64594,0.90142,0.62024,0.74115,0.54341,0.47268,1.39422,1.12801,1.60414,0.0004786,0.0004786,0.0004786
81,1306.83,1.45492,1.37598,1.64655,0.91066,0.58535,0.72529,0.45907,0.41861,1.51317,1.26126,1.71283,0.000472,0.000472,0.000472
82,1323.04,1.46463,1.39612,1.66177,0.53326,0.72526,0.74204,0.45418,0.43166,1.5346,1.24037,1.71513,0.0004654,0.0004654,0.0004654
83,1339.28,1.43759,1.35898,1.63528,0.69112,0.75001,0.76956,0.46578,0.46153,1.54745,1.12738,1.7022,0.0004588,0.0004588,0.0004588
84,1355.15,1.4624,1.39945,1.64544,0.64977,0.78835,0.78829,0.56036,0.48704,1.42603,1.09302,1.6369,0.0004522,0.0004522,0.0004522
85,1371.07,1.45808,1.38776,1.64953,0.58458,0.77761,0.72978,0.52152,0.44807,1.4405,1.15521,1.60891,0.0004456,0.0004456,0.0004456
86,1386.62,1.47601,1.38938,1.65865,0.68805,0.76462,0.78901,0.55291,0.49379,1.3691,1.10522,1.58419,0.000439,0.000439,0.000439
87,1402.38,1.45472,1.37187,1.63139,0.90274,0.63634,0.74413,0.53904,0.46672,1.52404,1.14631,1.71109,0.0004324,0.0004324,0.0004324
88,1418.07,1.45763,1.39302,1.64073,0.62248,0.78154,0.77299,0.56264,0.49821,1.36935,1.11208,1.58533,0.0004258,0.0004258,0.0004258
89,1434.13,1.45829,1.38199,1.64481,0.68179,0.79244,0.80592,0.53415,0.47225,1.47419,1.1398,1.66085,0.0004192,0.0004192,0.0004192
90,1450.14,1.4485,1.37786,1.635,0.68751,0.80038,0.79305,0.45976,0.45977,1.49884,1.13277,1.682,0.0004126,0.0004126,0.0004126
91,1466.06,1.45892,1.38369,1.63699,0.9029,0.61236,0.72986,0.5224,0.44904,1.46047,1.1788,1.64574,0.000406,0.000406,0.000406
92,1481.93,1.4578,1.36357,1.63259,0.67031,0.729,0.74436,0.43312,0.4482,1.42136,1.09874,1.60306,0.0003994,0.0003994,0.0003994
93,1497.57,1.42826,1.34225,1.61549,0.60849,0.77772,0.77506,0.45755,0.45757,1.43546,1.13297,1.62297,0.0003928,0.0003928,0.0003928
94,1513.35,1.44516,1.34833,1.62385,0.79405,0.73609,0.7915,0.50858,0.4808,1.42141,1.09543,1.66221,0.0003862,0.0003862,0.0003862
